DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM
lopinavir,1601,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.07,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL729,,,Tclin,Homo sapiens
paroxetine,2068,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.068313346,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
cibenzoline,630,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.06,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL87045,,,Tclin,Homo sapiens
methadone,1728,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.01,,IC50,Inhibitory concentration against potassium channel HERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL651,,,Tclin,Homo sapiens
ouabain,2004,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0088,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
amiodarone,176,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL633,BLOCKER,Tclin,Homo sapiens
mexiletine,1794,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL558,,,Tclin,Homo sapiens
nifekalant,1923,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL360861,,,Tclin,Homo sapiens
nitrendipine,1947,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL475534,,,Tclin,Homo sapiens
amitriptyline,180,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
